STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",5/15/2020,0,94,69
USW00023183,"PHOENIX AIRPORT, AZ US",5/16/2020,0,98,71
USW00023183,"PHOENIX AIRPORT, AZ US",5/17/2020,0,102,74
USW00023183,"PHOENIX AIRPORT, AZ US",5/18/2020,0,101,73
USW00023183,"PHOENIX AIRPORT, AZ US",5/19/2020,0,91,72
USW00023183,"PHOENIX AIRPORT, AZ US",5/20/2020,0,86,63
USW00023183,"PHOENIX AIRPORT, AZ US",5/21/2020,0,92,64
USW00023183,"PHOENIX AIRPORT, AZ US",5/22/2020,0,96,66
USW00023183,"PHOENIX AIRPORT, AZ US",5/23/2020,0,95,70
USW00023183,"PHOENIX AIRPORT, AZ US",5/24/2020,0,95,71
USW00023183,"PHOENIX AIRPORT, AZ US",5/25/2020,0,97,70
USW00023183,"PHOENIX AIRPORT, AZ US",5/26/2020,0,103,72
USW00023183,"PHOENIX AIRPORT, AZ US",5/27/2020,0,107,74
USW00023183,"PHOENIX AIRPORT, AZ US",5/28/2020,0,109,79
USW00023183,"PHOENIX AIRPORT, AZ US",5/29/2020,0,112,82
USW00023183,"PHOENIX AIRPORT, AZ US",5/30/2020,0,111,84
USW00023183,"PHOENIX AIRPORT, AZ US",5/31/2020,0,107,83
USW00023183,"PHOENIX AIRPORT, AZ US",6/1/2020,0,105,82
USW00023183,"PHOENIX AIRPORT, AZ US",6/2/2020,0,107,87
USW00023183,"PHOENIX AIRPORT, AZ US",6/3/2020,0,110,85
USW00023183,"PHOENIX AIRPORT, AZ US",6/4/2020,0,112,84
USW00023183,"PHOENIX AIRPORT, AZ US",6/5/2020,0,107,85
USW00023183,"PHOENIX AIRPORT, AZ US",6/6/2020,0,93,74
USW00023183,"PHOENIX AIRPORT, AZ US",6/7/2020,0,97,76
USW00023183,"PHOENIX AIRPORT, AZ US",6/8/2020,0,90,75
USW00023183,"PHOENIX AIRPORT, AZ US",6/9/2020,0,94,74
USW00023183,"PHOENIX AIRPORT, AZ US",6/10/2020,0,105,72
USW00023183,"PHOENIX AIRPORT, AZ US",6/11/2020,0,108,75
USW00023183,"PHOENIX AIRPORT, AZ US",6/12/2020,0,110,80
USW00023183,"PHOENIX AIRPORT, AZ US",6/13/2020,0,106,79
USW00023183,"PHOENIX AIRPORT, AZ US",6/14/2020,0,107,74
USW00023183,"PHOENIX AIRPORT, AZ US",6/15/2020,0,106,77
USW00023183,"PHOENIX AIRPORT, AZ US",6/16/2020,0,106,77
USW00023183,"PHOENIX AIRPORT, AZ US",6/17/2020,0,104,76
USW00023183,"PHOENIX AIRPORT, AZ US",6/18/2020,0,103,76
USW00023183,"PHOENIX AIRPORT, AZ US",6/19/2020,0,102,76
